iter	Passed	Remaining
0	166	165941
1	175	87475
2	184	61183
3	191	47659
4	200	39831
5	208	34538
6	216	30705
7	225	27974
8	234	25817
9	243	24071
10	252	22717
11	261	21532
12	271	20579
13	279	19713
14	289	19024
15	299	18440
16	309	17872
17	318	17371
18	327	16902
19	338	16579
20	348	16224
21	356	15857
22	367	15614
23	378	15394
24	387	15106
25	396	14863
26	405	14615
27	414	14406
28	425	14234
29	434	14057
30	443	13878
31	453	13713
32	463	13587
33	473	13451
34	483	13318
35	494	13235
36	503	13114
37	513	13001
38	524	12920
39	534	12825
40	544	12745
41	555	12670
42	565	12578
43	575	12506
44	585	12420
45	594	12326
46	604	12262
47	614	12195
48	624	12111
49	633	12043
50	643	11967
51	653	11908
52	663	11852
53	672	11787
54	681	11716
55	691	11661
56	701	11603
57	711	11554
58	720	11484
59	730	11436
60	739	11390
61	749	11341
62	759	11300
63	769	11258
64	780	11221
65	790	11183
66	799	11139
67	810	11107
68	820	11077
69	830	11030
70	840	10994
71	850	10962
72	859	10915
73	869	10878
74	878	10837
75	888	10800
76	897	10763
77	908	10740
78	918	10711
79	928	10679
80	938	10648
81	948	10618
82	958	10586
83	968	10565
84	978	10533
85	987	10496
86	997	10468
87	1007	10445
88	1017	10413
89	1027	10384
90	1036	10356
91	1046	10331
92	1056	10304
93	1066	10278
94	1075	10247
95	1088	10253
96	1102	10265
97	1117	10281
98	1131	10298
99	1144	10303
100	1157	10306
101	1170	10307
102	1183	10308
103	1195	10301
104	1208	10302
105	1220	10295
106	1232	10283
107	1243	10268
108	1257	10275
109	1268	10263
110	1277	10233
111	1289	10222
112	1299	10201
113	1309	10175
114	1318	10150
115	1327	10119
116	1339	10109
117	1350	10093
118	1361	10081
119	1371	10055
120	1382	10046
121	1394	10032
122	1404	10016
123	1414	9994
124	1424	9968
125	1433	9946
126	1443	9923
127	1452	9897
128	1463	9881
129	1473	9862
130	1483	9839
131	1493	9819
132	1504	9804
133	1513	9780
134	1522	9756
135	1532	9736
136	1542	9714
137	1552	9699
138	1563	9683
139	1573	9664
140	1583	9646
141	1592	9623
142	1601	9596
143	1611	9579
144	1621	9558
145	1630	9537
146	1640	9520
147	1650	9501
148	1660	9483
149	1670	9464
150	1680	9446
151	1691	9435
152	1702	9426
153	1712	9407
154	1721	9385
155	1731	9367
156	1741	9350
157	1750	9328
158	1761	9318
159	1771	9299
160	1781	9282
161	1791	9266
162	1801	9249
163	1811	9231
164	1821	9218
165	1830	9198
166	1840	9181
167	1851	9169
168	1862	9158
169	1872	9142
170	1882	9125
171	1891	9106
172	1901	9091
173	1911	9075
174	1921	9057
175	1930	9040
176	1940	9021
177	1950	9005
178	1960	8989
179	1972	8987
180	1983	8975
181	1993	8960
182	2004	8949
183	2017	8946
184	2027	8932
185	2037	8916
186	2047	8900
187	2057	8886
188	2067	8873
189	2077	8858
190	2088	8846
191	2098	8832
192	2108	8814
193	2118	8800
194	2127	8783
195	2137	8768
196	2148	8757
197	2159	8748
198	2169	8733
199	2180	8723
200	2191	8710
201	2201	8695
202	2211	8682
203	2221	8666
204	2230	8651
205	2240	8635
206	2250	8620
207	2260	8606
208	2270	8593
209	2279	8576
210	2289	8561
211	2299	8548
212	2309	8534
213	2320	8521
214	2331	8511
215	2340	8496
216	2350	8479
217	2359	8464
218	2369	8449
219	2380	8439
220	2389	8421
221	2398	8406
222	2407	8390
223	2418	8377
224	2428	8364
225	2437	8348
226	2447	8333
227	2457	8319
228	2466	8303
229	2477	8292
230	2486	8278
231	2496	8263
